id,dataSetId,titleZh,titleEn,version,dataSetUpdateDate,introductionZh,introductionEn,doi,visit,download,ref,打标结果
6245634e8105fb7f09ce9026,66b29c09a72d430c9505935608a80096,Datasets for NLPCC2022.SharedTask5.Track2,Datasets for NLPCC2022.SharedTask5.Track2,V1,2022-04-06T05:48:47.558Z,"<p>Domain knowledge graph has been widely adopted for various domains, e.g., medicine, agriculture and service industry, because it can provide promising functions including intelligent search and personalized recommendation. Knowledge graph is normally composited of a huge number of entities and relations (connect entities), and the utility of knowledge graph largely&nbsp;depends on the richness of these entities/relations. To construct high-value knowledge graph (e.g., informative domain knowledge graph), researchers aim at automatically extracting entities from massive heterogeneous sources, which is often impossible to achieve with pure manual labor.</p><p>With the blooming of natural language processing (NLP), researchers have proposed Named Entity Recognition (NER) technique to automatically extract entities from raw texts. NER is mostly regarded as a supervised sequence labeling/tagging task; that is, recognizing entities from unseen texts according to the patterns learned&nbsp;from labeled texts. As an essential step for knowledge graph construction, as well as some other NLP tasks, the development of NER is one of the main focuses in both the academia and the industry in recent years. Under this background, this competition targets at exploring novel and insightful NER methods to better capture the entities, especially for the construction of domain knowledge graphs.</p>","<p>Domain knowledge graph has been widely adopted for various domains, e.g., medicine, agriculture and service industry, because it can provide promising functions including intelligent search and personalized recommendation. Knowledge graph is normally composited of a huge number of entities and relations (connect entities), and the utility of knowledge graph largely&nbsp;depends on the richness of these entities/relations. To construct high-value knowledge graph (e.g., informative domain knowledge graph), researchers aim at automatically extracting entities from massive heterogeneous sources, which is often impossible to achieve with pure manual labor.</p><p>With the blooming of natural language processing (NLP), researchers have proposed Named Entity Recognition (NER) technique to automatically extract entities from raw texts. NER is mostly regarded as a supervised sequence labeling/tagging task; that is, recognizing entities from unseen texts according to the patterns learned&nbsp;from labeled texts. As an essential step for knowledge graph construction, as well as some other NLP tasks, the development of NER is one of the main focuses in both the academia and the industry in recent years. Under this background, this competition targets at exploring novel and insightful NER methods to better capture the entities, especially for the construction of domain knowledge graphs.</p>",10.11922/sciencedb.j00104.00101,47,61,0,
6808b0b9b68bff0d90b30adc,2af67089c40949ce8e4c3f08439364f4,EFFICIENT PREDICTION OF REFRACTIVE INDEX AND ABBE NUMBER IN POLYMERS USING DENSITY FUNCTIONAL THEORY,EFFICIENT PREDICTION OF REFRACTIVE INDEX AND ABBE NUMBER IN POLYMERS USING DENSITY FUNCTIONAL THEORY,V1,2025-06-11T08:32:51.378Z,"<p>Polymer optical materials are becoming increasingly important in modern technologies owing to their unique properties. This study applies coupled perturbed density functional theory (DFT) to predict the refractive index (RI) and Abbe number of polymers. Using the Lorentz-Lorenz equation, the frequency-dependent polarizability and molecular volume were calculated to estimate RI. Wavelength-dependent RI values were used to derive the Abbe numbers. Our results show a strong correlation with experimental data, with Pearson coefficients of 0.912 for RI and 0.968 for Abbe number, enabling the introduction of linear correction functions to minimize discrepancies between theoretical predictions and experimental results. By categorizing polymers into classes such as poly(methyl methacrylate) (PMMA)-, polyethylene (PE)-, polycarbonate (PC)-, polyimide (PI)-, and polyurethane (PU)-based materials, this method enables precise predictions and reduces discrepancies using linear correction functions. This efficient and direct computational framework avoids the complexity of traditional models and offers a practical tool for the design and optimization of advanced optical materials.</p>","<p>Polymer optical materials are becoming increasingly important in modern technologies owing to their unique properties. This study applies coupled perturbed density functional theory (DFT) to predict the refractive index (RI) and Abbe number of polymers. Using the Lorentz-Lorenz equation, the frequency-dependent polarizability and molecular volume were calculated to estimate RI. Wavelength-dependent RI values were used to derive the Abbe numbers. Our results show a strong correlation with experimental data, with Pearson coefficients of 0.912 for RI and 0.968 for Abbe number, enabling the introduction of linear correction functions to minimize discrepancies between theoretical predictions and experimental results. By categorizing polymers into classes such as poly(methyl methacrylate) (PMMA)-, polyethylene (PE)-, polycarbonate (PC)-, polyimide (PI)-, and polyurethane (PU)-based materials, this method enables precise predictions and reduces discrepancies using linear correction functions. This efficient and direct computational framework avoids the complexity of traditional models and offers a practical tool for the design and optimization of advanced optical materials.</p>",10.1007/s10118-025-3353-3,58,57,1,
60b9f23881e63e42b94c2191,633694460974202880,广东土种志——基于全国第二次土壤普查数据集,Soil Species Database of Guangdong—based on the Second National Soil Survey,V1,1501036419000,本数据集来源于1996年科学出版社出版的《广东土种志》，该书共有212个土种，它第一次较详细、系统、全面介绍了广东省土种的归属、名称；面积与分布、主要理化性状、典型剖面特征及其理化分析结果、生产性能及改良培肥途径等，是广东省第二次土壤普查的主要成果之一。本数据集在进行系列标准规范化工作的基础上，构造了一个包括地点与土壤类型分布关系和中国土壤发生分类的分类关系的E-R 数据模型，形成了具有16个土类、39个亚类、212个土种、212个典型剖面的700个发生层及物理化学性质的数据产品。本数据集可被广泛用于土地质量评估、环境效应研究、土壤碳储量研究等，对因土种植、因土施肥、因土改良、调整农业结构布局、合理利用土壤资源等均具有非常重要的指导意义。,"The data from Soil species database of Guangdong is based on the Second National Soil Survey; Science Press publishing in 1996. There are 212 soil species in this database, which main covers the distribution of soil type, the area, the main characters, the land-use and the product performance. On the basis of a series of standardization work, an E-R data model was constructed which included the relation between location and soil type, and the classification relation according to Genetic Soil Classification of China. It results in a data product which contains 16 soil groups, 39 subgroups, 212 main soil species, 212 typical profiles, 700 soil horizons and theirs physical chemical properties. The database can widely be used for land degradation assessments, environmental impact studies, soil carbon reserves studies, and as a soil-based data to guide agricultural production.",10.11922/sciencedb.460,15856,290,245,
6a31134a9a0ef638b83bcdb6,be843ab7f7d8433695261525a643eb68,中国1km分辨率逐月NDVI数据集（2001-2024年）,China 1 km monthly NDVI dataset (2001-2024),V2,2026-06-17T08:08:06.725Z,"<p><span style=""color: rgb(120, 120, 120);"">中国1km分辨率逐月NDVI数据集（2001-2024年）根据MODIS MOD13A2数据进行月度最大值合成、镶嵌和裁剪后制作而成，包含多个TIF文件，每个TIF文件对应该月最大值NDVI数据，文件以时间命名。数据值域改为-0.2~1，不再需要除以一万，另外范围扩大到中国及周边地区，可以自行裁剪。数据分为两个文件夹，MVC文件夹中为MOD13A2 NDVI逐月最大值合成结果，mod1k_SGfilter为MVC中数据S-G滤波后的结果。</span></p>","<p>The monthly NDVI dataset with a resolution of 1km in China (2001-2024) was created by synthesizing, inlaying, and cropping the monthly maximum values based on MODIS MOD13A2 data. It contains multiple TIF files, each corresponding to the monthly maximum NDVI data, and the files are named after time. The data value range has been changed to -0.2~1, no longer requiring division by 10000. Additionally, the range has been expanded to China and surrounding areas, and can be trimmed by oneself. The data is divided into two folders. The MVC folder contains the monthly maximum value synthesis results of MOD13A2 NDVI, while mod1k_SGfilter is the S-G filtered result of the data in MVC.&nbsp;</p>",10.12041/geodata.197351408897313.ver1.db,1106,35253,0,
610a8e8f44b32f0f67587553,d0cc2a9cff2946daa667702f37707ce1,Visual Colour EEG Dataset,Visual Colour EEG Dataset,V2,2021-08-04T13:29:52.556Z,"<p>	Although there is more research about BCI Visual, but little about human’s visual colour. We provide a new EEG dataset of BCI Visual Colour. There is no such type dateset up-to-today. We hope this dataset can help and reuse for other researchers with there basic works in Neural Science and Computer Science. </p><p>	These dataset consist of 14 healthy subjects. Our purpose of establishing this dataset is to create a standard small sample of visual colour EEG to provide scholars in related fields for research.</p><p>	The standard small sample dataset includes the recognition of the basic colour RGB that humans perceive. Each subject in the dataset contains three sets of data: RG, RB, and GB. In each set of data, 3 rounds of visual stimulation experiments were included. Each stimulus experiment consists of 35 random stimulus interactions in two different colours. Therefore, there are a total of 630 stimuli in each subject's data.</p><p>	Note that when calling data, a data packet usually consists of two .bdf files. One is the main record data file named data.bdf, and there is a label file named event.bdf. When calling data, it is necessary to call two files at the same time. The event.bdf file is the main reference basis for time series analysis of all data, and it is as important as the data.bdf file. The code for calling the .bdf file has been written in the other two classifier codes.</p><p>	We hope that this data can provide researchers in the field of neuroscience with a certain effect on the basic research of visual EEG signals and visual nerves in the field of colour perception. At the same time, we also hope that this dataset can be provided to researchers in the field of computer science to bring some research on the application of classifiers. We selected support vector machines and FNN neural networks on the classifier to analyze these dataset and achieved good results. But we not only hope that the analysis of this dataset will only stay on the above two analysis methods. We expect that more colleagues can use more other classifiers and data analysis methods to further process and use our dataset, so that our dataset can get better reusability.</p><p>	The ultimate goal of our release of this set of dataset is to hope that this set of dataset can become a standard sample for decoding human visual colour perception. At the same time, we hope that more machine learning algorithms can be obtained on the basis of repeated use of dataset, so as to give the field of neuroscience and computers The scientific field brings further research.</p>","<p>	Although there is more research about BCI Visual, but little about human’s visual colour. We provide a new EEG dataset of BCI Visual Colour. There is no such type dateset up-to-today. We hope this dataset can help and reuse for other researchers with there basic works in Neural Science and Computer Science. </p><p>	These dataset consist of 14 healthy subjects. Our purpose of establishing this dataset is to create a standard small sample of visual colour EEG to provide scholars in related fields for research.</p><p>	The standard small sample dataset includes the recognition of the basic colour RGB that humans perceive. Each subject in the dataset contains three sets of data: RG, RB, and GB. In each set of data, 3 rounds of visual stimulation experiments were included. Each stimulus experiment consists of 35 random stimulus interactions in two different colours. Therefore, there are a total of 630 stimuli in each subject's data.</p><p>	Note that when calling data, a data packet usually consists of two .bdf files. One is the main record data file named data.bdf, and there is a label file named event.bdf. When calling data, it is necessary to call two files at the same time. The event.bdf file is the main reference basis for time series analysis of all data, and it is as important as the data.bdf file. The code for calling the .bdf file has been written in the other two classifier codes.</p><p>	We hope that this data can provide researchers in the field of neuroscience with a certain effect on the basic research of visual EEG signals and visual nerves in the field of colour perception. At the same time, we also hope that this dataset can be provided to researchers in the field of computer science to bring some research on the application of classifiers. We selected support vector machines and FNN neural networks on the classifier to analyze these dataset and achieved good results. But we not only hope that the analysis of this dataset will only stay on the above two analysis methods. We expect that more colleagues can use more other classifiers and data analysis methods to further process and use our dataset, so that our dataset can get better reusability.</p><p>	The ultimate goal of our release of this set of dataset is to hope that this set of dataset can become a standard sample for decoding human visual colour perception. At the same time, we hope that more machine learning algorithms can be obtained on the basis of repeated use of dataset, so as to give the field of neuroscience and computers The scientific field brings further research.</p>",10.11922/sciencedb.01034,107,58,0,
6944deaaa0c62c6324240bb9,67dc232fb778443cbc6f288e8e184b5f,伊犁地区G219线温泉-霍尔果斯段2023-2024年冬季雪崩灾害数据集,"Snow Avalanche Disaster Dataset for the Wenquan-Khorgas Section of G219 Highway in Ili Region, China (Winter 2023-2024)",V1,2025-12-26T02:47:11.835Z,<p>该数据集包含新疆伊犁地区国道G219线沿线雪崩灾害数据。主要包括调查区域数字高程模型及其GIS平台处理得到的地理衍生数据。空间分辨率为1m，<span style="color: black;">地理范围为44°28′00″–44°37′00″N， 80°36′00″–80°44′00″E。另外包括</span>2023年至2024年冬季雪崩灾害数据清单。</p><p>其中释放区数据中，属性列表包含“面积”“坡度”“深度”“方量”四组字段，共158条字段信息，分别对应雪崩释放区面积、释放区平均坡度、雪崩断裂深度、雪崩释放体积。该数据表中数据单位为m2、°、m、m3。</p>,"<p>This dataset contains data on avalanche disasters along National Highway G219 in Ili, Xinjiang. This mainly includes the investigation of regional digital elevation models and geographic derived data processed by their GIS platforms. The spatial resolution is 1m, and the geographical range is 44 ° 28 ′ 00 ″ -44 ° 37 ′ 00 ″ N, 80 ° 36 ′ 00 ″ -80 ° 44 ′ 00 ″ E. In addition, a list of winter avalanche disaster data from 2023 to 2024 is included.&nbsp;In the release area data, the attribute list contains four sets of fields: ""area"", ""slope"", ""depth"", and ""volume"", with a total of 158 field information, corresponding to the avalanche release area area, average slope of the release area, avalanche fracture depth, and avalanche release volume. The data units in this data table are m 2, ° m、m3。&nbsp;</p>",10.12072/ncdc.snow.db7269.2026,6217,100,1,
63bd1b02dc20943c16d12587,de63f775f6524b12be29dc8ab2c88555,中国边境地区人类活动强度空间分布数据集（1992-2020）,Human activity intensity data set in China's border areas (1992-2020),V1,2023-01-13T09:24:54.735Z,<p>中国是全球陆地边界线最长和邻国数量最多的国家，目前尚缺乏针对中国边境地区栅格尺度的人类活动研究。我们基于多年的土地利用/覆盖数据、人口密度数据和夜间灯光数据构建了人类活动强度指数（human activity intensity，HAI），以中国陆地边境线两侧各50km缓冲区范围为研究区域，计算了1992、2000、2010、2020年1 km分辨率的人类活动强度。该数据集存储为.tif格式，由4个图层文件组成，数据量为632 MB（压缩为1个文件，6.27 MB）。</p>,"<p>China has the longest terrestrial boundary and the highest number of neighboring countries in the world. At present, there is a lack of research on human activities at the grid scale in China's border areas. Using the land use/cover data, population density data, and night-time light data, we constructed the human activity intensity index (HAI). Taking the 50km buffer zones of China’s land boundary on each side as the study area, we calculated the HAI with a resolution of 1km in 1992, 2000, 2010, and 2020. This dataset is stored as the tif format and composed of four layers with a volume of 469 MB (compressed into one file, 4.37 MB).</p>",10.11888/humannat.tpdc.272976,776,38,1,
60cbf0ffeb4dcf05a66f841d,803924047602647040,"3D spatial distribution of tumor responses in PDT-treated mouse from HE, TUNEL and CD31-stained coronal slices","3D spatial distribution of tumor responses in PDT-treated mouse from HE, TUNEL and CD31-stained coronal slices",V2,2021-07-01T05:15:40.967Z,"<p>The full data set for constructing three-dimensional spatial distribution of tumor responses in PDT-treated mice from HE, TUNEL and CD31-stained coronal slices. This repository also contains a MATLAB implementation of spatial distribution analysis for HE, TUNEL and CD31-stained coronal slices. The data set constitutes of all the raw slice images (.svs), the pre-processed version (.tif), scripts and results of spatial distribution analysis, and the individually reconstructed necrosis, apoptosis and blood vessel volumes of PDT-treated tumor. Besides, the data of laser spot measured and its light distribution simulation are also included.</p>","<p>The full data set for constructing three-dimensional spatial distribution of tumor responses in PDT-treated mice from HE, TUNEL and CD31-stained coronal slices. This repository also contains a MATLAB implementation of spatial distribution analysis for HE, TUNEL and CD31-stained coronal slices. The data set constitutes of all the raw slice images (.svs), the pre-processed version (.tif), scripts and results of spatial distribution analysis, and the individually reconstructed necrosis, apoptosis and blood vessel volumes of PDT-treated tumor. Besides, the data of laser spot measured and its light distribution simulation are also included.</p>",10.11922/sciencedb.00596,3610,2885784,0,
60b9c11e4ac024744bb24dc4,557575335810433024,水稻白叶枯病图库数据集,Rice false smut dataset,V1,2019-03-19T06:45:17.338Z,水稻稻曲病，又名伪黑穗病、绿黑穗病、谷花病、青粉病。稻曲病只发生于穗部，为害部分谷粒。受害水稻稻曲病的表现症状谷粒内形成菌丝块渐膨大，内外颖裂开，露出淡黄色块状物，即孢子座，后包于内外颖两侧，呈黑绿色，初外包一层薄膜，后破裂，散生墨绿色粉末，即病菌的厚垣孢子，有的两侧生黑色扁平菌核，风吹雨打易脱落。河北、长江流域及南方各省稻区时有发生。[防治方法]。[选用抗病品种]不同品种的水稻对稻曲病的抗性不同，根据各地的情况选择种植抗性强的品种。[种子消毒]因为稻曲病可通过种子传播，农民朋友们应该选择尽量不易染病的稻种，浸种时用500倍强氯精液浸种消毒10-12小时。[药剂防治]要掌握在孕穗末期用药。在破口的5-7天每亩用20%三唑酮乳油100毫升或25%粉锈宁（三唑酮）可湿性粉剂100克+40%多菌灵悬浮剂100毫升或50%多菌灵可湿性粉剂100克稀释60斤喷雾。破口抽穗1/3-1/2时再喷一次。,"Rice false smut, also known as pseudosmut, green smut, millet smut, powdery mildew. Rice false smut occurs only in panicles and damages some grains. The symptoms of Rice False Smut were that the mycelium was gradually enlarged, the inner and outer glumes were split, and the pale yellow mass, namely the sporangia, was wrapped on both sides of the glume. It was black-green. At first, it was wrapped with a film, then broken, and scattered dark-green powder, i.e. chlamydospore of the pathogen, some of which had black flat sclerotia on both sides, was easy to fall off under wind and rain. Rice growing areas occur frequently in Hebei, Yangtze River Basin and southern provinces. [Control methods]. [Selection of disease-resistant varieties] Different varieties of rice have different resistance to rice false smut, and the varieties with strong resistance are selected according to the local conditions. [Seed disinfection] Because rice false smut can be transmitted through seeds, farmers'friends should choose rice seeds that are not easily infected, soaking seeds with 500 times strong chlorine semen for 10-12 hours. [Pharmaceutical control] Drug use should be mastered at the end of booting stage. On the 5-7 day of the break, 20% +40% three zolone emulsifiable concentrate (100 ml) or 25% Triadimefon (three zolone) wettable powder 100 grams of carbendazim suspension 100 ml or 50% carbendazim wettable powder 100 grams diluted 50% grams spray. Spray once again when the broken heading is 1/3-1/2.",10.11922/sciencedb.p00001.00002,2652,204524,58,
60b9f23881e63e42b94c2369,757955634657230848,基于单元素掺杂的TiO2光催化材料数据集,Photocatalytic database based on single-element doped TiO2,V1,2020-10-16T07:54:52.459Z,数据库由掺杂晶体结构数据、结构优化计算的输入输出数据、静态计算输入输出数据、能带计算输入输出数据、电子态密度计算输入输出数据、磁性计算输入输出数据、介电常数计算输入输出数据、结果提取数据8个部分组成。其中：(1) Data1_Structure.zip是优化后晶体结构数据，数据量包含100个结构（99个掺杂结构，1个TiO2超晶胞结构），大小为90 KB；(2) Data2_Optimization.zip是结构优化计算数据，数据量大小为523 MB；(3) Data3_Static.zip是静态计算数据，数据量大小为3.68 GB；(4) Data4_Band.zip是能带计算数据，包含三种能带计算方法，数据量大小为10.5 GB；(5) Data5_DOS.zip是电子态密度计算数据，数据量大小为4.45 GB；(6) Data6_Magnetic.zip是线性磁矩计算数据，数据量大小为1.03 GB；(7) Data7_Dielectric.zip是介电常数计算数据，数据量大小为74.6 MB；(8) Data5_Extraction.zip是6类计算抽取结果数据，数据量大小为131 MB。,"The dataset consists of 8 subsets in total. It comprises doping crystal structure data, input and output data of geometry optimization, static calculation, band structure, density of states, magnetic property, and dielectric function calculation, and some extraction data. The subsets are recorded as Data1_Structure.zip with a data volume of 90 KB, Data2_Optimization.zip with a data volume of 523 MB, Data3_Static.zip with a data volume of 3.68 GB, Data4_Band.zip with a data volume of 10.5 GB, Data5_DOS.zip with a data volume of 4.45 GB, Data6_Magnetic.zip with a data volume of 1.03GB, Data7_Dielectric.zip with a data volume of 74.6 MB, and Data5_Extraction.zip with a data volume of 131 MB.",10.11922/sciencedb.00204,905,76,125,
